threshold,nscale,norient,minWaveLength,mult,sigmaOnf,k,cutOff,g,noiseMethod,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.05,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.34007835388183594,4.684209823608398,,0.3573506474494934,0.6116071939468384,0.19884945452213287,0.13799412548542023,0.355723112821579,0.6517139077186584,1.0,0.11040135473012924,0.004466056823730469,0.5016805529594421,0.17003917664289475
0.05,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.3643602728843689,4.3846893310546875,0.07374440133571625,0.3773568272590637,0.6168341040611267,0.2208341360092163,0.1430375576019287,0.4841676652431488,0.6335919499397278,1.0,0.12412228435277939,0.05767381191253662,0.5588798522949219,0.182180091869086
0.05,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.2884463369846344,5.399349212646484,,0.30704808235168457,0.6612775325775146,0.24758651852607727,0.18560251593589783,0.3717297911643982,0.7123417854309082,1.0,0.14128316938877106,0.05949920415878296,0.542470395565033,0.1442231784388423
0.27499999999999997,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.07168152928352356,11.445926666259766,,0.08895400911569595,0.826439380645752,0.07391972839832306,0.13342797756195068,0.05112031102180481,0.9479614496231079,1.0,0.03837832063436508,-0.0012410879135131836,0.5005362033843994,0.03584075787599431
0.27499999999999997,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.08717601746320724,10.596029281616211,0.48970523476600647,0.10017275810241699,0.8475247025489807,0.14316494762897491,0.1935834139585495,0.1135825589299202,0.9402331113815308,1.0,0.07710159569978714,0.06567138433456421,0.5269078612327576,0.04358799936482683
0.27499999999999997,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.062002696096897125,12.07589340209961,,0.08060435205698013,0.8305726051330566,0.10974778980016708,0.2585298717021942,0.06965934485197067,0.9647662043571472,1.0,0.05805986747145653,0.04923975467681885,0.5189223289489746,0.031001355707703623
0.49999999999999994,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.030388029292225838,15.1729736328125,,0.04766051471233368,0.8608199954032898,0.006239535752683878,0.09594973921775818,0.0032246150076389313,0.9952378869056702,1.0,0.0031295313965529203,-0.0025947093963623047,0.5002000331878662,0.015194013047241817
0.49999999999999994,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.03817987069487572,14.181654930114746,0.8192068338394165,0.05117657780647278,0.8858168721199036,0.01698414236307144,0.24620570242404938,0.008795441128313541,0.996598482131958,1.0,0.008564803749322891,0.009319782257080078,0.5026969909667969,0.01908993887802353
0.49999999999999994,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.036814089864492416,14.339859008789062,,0.05541577935218811,0.8470900058746338,0.013587754219770432,0.2066173255443573,0.007024864666163921,0.9952427744865417,1.0,0.006840349640697241,0.003765702247619629,0.5021206140518188,0.018407040593867927
0.725,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.026766933500766754,15.724013328552246,,0.044039443135261536,0.8640662431716919,0.00026933138724416494,0.03892944008111954,0.00013513315934687853,0.9994770884513855,1.0,0.00013468383986037225,-0.000668644905090332,0.4999769926071167,0.013383472700172781
0.725,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.03544659912586212,14.504253387451172,0.8571072220802307,0.04844333603978157,0.8878107666969299,0.00021960688172839582,0.19135071337223053,0.00010986648703692481,0.9999414086341858,1.0,0.00010981549712596461,9.09566879272461e-05,0.5000256299972534,0.017723308812419417
0.725,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.033466070890426636,14.753952026367188,,0.05206776782870293,0.8496748208999634,0.00029985798755660653,0.049974631518125534,0.00015038014680612832,0.999495804309845,1.0,0.0001499514764873311,-0.0006002187728881836,0.4999978840351105,0.016733038966797387
0.95,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.026309354230761528,15.798897743225098,,0.04358185827732086,0.8644993305206299,5.630521400235011e-07,0.05882352963089943,2.815274058320938e-07,0.9999992847442627,1.0,2.8152615527687885e-07,-5.960464477539062e-07,0.49999988079071045,0.013154680014252
0.95,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.03539636358618736,14.51041316986084,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193578980864
0.95,3,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.03303132206201553,14.810739517211914,,0.051633019000291824,0.8500802516937256,5.088984948997677e-07,0.05882352963089943,2.544503274748422e-07,0.9999992847442627,1.0,2.544493042933027e-07,-7.152557373046875e-07,0.49999988079071045,0.016515664392629907
0.05,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.29042449593544006,5.3696675300598145,,0.30769675970077515,0.6500734090805054,0.1851164847612381,0.13522863388061523,0.29333046078681946,0.7059885859489441,1.0,0.10199910402297974,-0.00045609474182128906,0.49743831157684326,0.14521217968314887
0.05,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.3200046420097351,4.948437213897705,0.08196286857128143,0.33300137519836426,0.6530793905258179,0.2128923088312149,0.14277522265911102,0.4183392822742462,0.6827307343482971,1.0,0.11912673711776733,0.05483609437942505,0.5505349636077881,0.16000230295583606
0.05,3,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.24070703983306885,6.1851115226745605,,0.2593088448047638,0.6961054801940918,0.23092864453792572,0.18605366349220276,0.304331511259079,0.765198290348053,1.0,0.13053664565086365,0.055103600025177,0.5349541306495667,0.12035350412130356
